Education,Education_Level,Total_Consumption,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds
Graduation,3,1617,635,88,546,172,88,88
Graduation,3,27,11,1,6,2,1,6
Graduation,3,776,426,49,127,111,21,42
Graduation,3,53,11,4,20,10,3,5
PhD,5,422,173,43,118,46,27,15
Master,4,716,520,42,98,0,42,14
Graduation,3,590,235,65,164,50,49,27
PhD,5,169,76,10,56,3,1,23
PhD,5,46,14,0,24,3,3,2
PhD,5,49,28,0,6,1,1,13
Graduation,3,19,5,5,6,0,2,1
Basic,1,61,6,16,11,11,1,16
Graduation,3,1102,194,61,480,225,112,30
Master,4,310,233,2,53,3,5,14
Graduation,3,46,3,14,17,6,1,5
PhD,5,1315,1006,22,115,59,68,45
Graduation,3,96,53,5,19,2,13,4
Graduation,3,317,84,5,38,150,12,28
Master,4,1782,1012,80,498,0,16,176
2n Cycle,2,133,4,17,19,30,24,39
Graduation,3,316,86,2,73,69,38,48
Graduation,3,1730,1,1,1725,1,1,1
PhD,5,972,867,0,86,0,0,19
PhD,5,544,384,0,102,21,32,5
Graduation,3,444,270,3,27,39,6,99
Graduation,3,75,6,4,25,15,12,13
Graduation,3,257,173,4,30,3,6,41
Graduation,3,637,5,1,3,3,263,362
Graduation,3,131,36,2,42,20,21,10
PhD,5,1672,684,100,801,21,66,0
Master,4,30,8,4,10,2,2,4
Master,4,318,112,17,44,34,22,89
Graduation,3,120,110,0,5,2,0,3
PhD,5,302,96,12,96,33,22,43
Master,4,1196,482,34,471,119,68,22
Master,4,65,40,0,19,2,1,3
PhD,5,913,702,17,151,0,8,35
2n Cycle,2,81,6,3,14,15,7,36
Graduation,3,67,55,0,6,2,0,4
PhD,5,902,437,8,206,160,49,42
Graduation,3,1395,421,76,536,82,178,102
Master,4,53,13,1,29,3,0,7
Graduation,3,22,9,0,6,3,1,3
PhD,5,186,81,11,50,3,2,39
Master,4,31,3,1,10,3,2,12
Graduation,3,984,123,164,266,227,30,174
2n Cycle,2,122,3,18,14,15,22,50
