ID,Age,Education,Marital Status,Parental Status,Children,Income,Spent,Customer Loyalty,Recency,Wines,Fruits,Meat,Fish,Sweets,Gold,Web,Catalog,Store,Discount Purchases,Total Promo,Web Engagement
5524,58,0,0,0,0,58138,1617,663,58,635,88,546,172,88,88,8,10,4,3,0,15
2174,61,0,0,1,2,46344,27,113,38,11,1,6,2,1,6,1,1,2,2,0,6
4141,50,0,1,0,0,71613,776,312,26,426,49,127,111,21,42,8,2,10,1,0,12
6182,31,0,1,1,1,26646,53,139,26,11,4,20,10,3,5,2,0,4,2,0,8
5324,34,1,1,1,1,58293,422,161,94,173,43,118,46,27,15,5,3,6,5,0,10
7446,48,1,1,1,1,62513,716,293,16,520,42,98,0,42,14,6,4,10,2,0,12
965,44,0,0,1,1,55635,590,593,34,235,65,164,50,49,27,7,3,7,4,0,13
6177,30,1,1,1,1,33454,169,417,32,76,10,56,3,1,23,4,0,4,2,0,12
4855,41,1,1,1,1,30351,46,388,19,14,0,24,3,3,2,3,0,2,1,0,12
5899,65,1,1,1,2,5648,49,108,68,28,0,6,1,1,13,1,0,0,1,1,21
387,39,2,1,0,0,7500,61,593,59,6,16,11,11,1,16,2,0,3,1,0,10
2125,56,0,0,0,0,63033,1102,226,82,194,61,480,225,112,30,3,4,8,1,0,5
8180,63,1,0,1,2,59354,310,226,53,233,2,53,3,5,14,6,1,5,3,0,12
2569,28,0,1,0,0,17323,46,627,38,3,14,17,6,1,5,1,0,3,1,0,9
2114,69,1,0,0,0,82800,1315,582,23,1006,22,115,59,68,45,7,6,12,1,2,10
9736,35,0,1,1,2,41850,96,552,51,53,5,19,2,13,4,3,0,3,3,0,11
4939,69,0,1,0,0,37760,317,667,20,84,5,38,150,12,28,4,1,6,2,0,11
6565,66,1,1,1,1,76995,1782,458,91,1012,80,498,0,16,176,11,4,9,2,1,16
2278,30,2,0,1,1,33812,133,603,86,4,17,19,30,24,39,2,1,3,2,0,8
9360,33,0,1,0,0,37040,316,690,41,86,2,73,69,38,48,4,2,5,1,0,12
5376,36,0,1,1,1,2447,1730,539,42,1,1,1725,1,1,1,0,28,0,15,0,1
1993,66,1,1,1,1,58607,972,553,63,867,0,86,0,0,19,2,3,9,3,1,10
4047,61,1,1,1,1,65324,544,169,0,384,0,102,21,32,5,6,2,9,3,0,10
1409,64,0,1,1,1,40689,444,468,69,270,3,27,39,6,99,7,1,5,7,0,15
7892,46,0,0,0,0,18589,75,543,89,6,4,25,15,12,13,2,1,3,2,0,9
2404,39,0,1,1,2,53359,257,398,4,173,4,30,3,6,41,5,1,4,4,0,12
9422,26,0,1,1,1,38360,131,394,26,36,2,42,20,21,10,2,1,4,2,0,5
1966,50,1,1,0,0,84618,1672,219,96,684,100,801,21,66,0,6,9,10,1,1,8
6864,26,1,0,0,0,10979,30,38,34,8,4,10,2,2,4,3,0,3,2,0,8
3033,52,1,1,0,0,38620,318,414,56,112,17,44,34,22,89,2,5,3,1,0,5
5710,45,0,1,1,1,40548,120,627,31,110,0,5,2,0,3,2,1,4,2,1,7
7373,63,1,0,1,2,46610,302,608,8,96,12,96,33,22,43,4,1,6,6,0,10
8755,69,1,1,0,0,68657,1196,494,4,482,34,471,119,68,22,3,5,9,1,0,10
10738,64,1,0,1,2,49389,65,304,55,40,0,19,2,1,3,2,0,3,1,0,9
4339,45,1,1,1,1,67353,913,180,37,702,17,151,0,8,35,5,6,12,5,0,7
10755,39,2,1,1,1,23718,81,300,76,6,3,14,15,7,36,3,1,2,3,0,10
8595,42,0,0,1,1,42429,67,138,99,55,0,6,2,0,4,1,1,3,2,0,6
2968,72,1,0,0,0,48948,902,513,53,437,8,206,160,49,42,7,10,5,2,1,13
8601,35,0,1,1,1,80011,1395,426,3,421,76,536,82,178,102,8,6,5,2,0,12
503,30,1,1,1,1,20559,53,474,88,13,1,29,3,0,7,2,0,3,2,0,10
8430,58,0,1,1,1,21994,22,552,4,9,0,6,3,1,3,0,0,3,1,0,5
2139,40,1,1,1,1,7500,31,270,19,3,1,10,3,2,12,2,0,3,3,0,7
1371,39,0,0,0,0,79941,984,1,72,123,164,266,227,30,174,2,4,9,1,0,3
9909,19,2,1,0,0,7500,122,597,24,3,18,14,15,22,50,3,1,3,3,0,12
7286,47,0,1,1,1,41728,55,401,92,13,6,15,3,5,13,2,0,2,1,0,12
6566,61,1,1,1,2,72550,1319,598,39,826,50,317,50,38,38,5,2,12,9,0,13
8614,58,0,0,1,1,65486,507,48,29,245,19,125,37,67,14,4,2,10,1,0,6
4114,51,1,1,0,0,79143,1693,687,2,650,37,780,27,167,32,6,9,13,1,0,9
1331,38,0,0,1,1,35790,72,543,54,12,6,20,30,1,3,2,0,3,2,0,9
2225,38,0,0,0,0,82582,1617,22,54,510,120,550,156,40,241,4,9,7,1,2,5
9381,37,0,1,1,2,66373,606,382,57,328,9,124,12,24,109,4,2,10,7,0,7
6260,60,1,1,0,0,82384,1957,587,55,984,51,432,180,120,190,3,10,13,1,1,4
